millis,stamp,datetime,light,temp,vcc
1242999, 1562112000, "2019/7/3 0:0:0", 601, 461.75, 2.23
1244000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1244999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1245999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 37.55
1246999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1247998, 1562112000, "2019/7/3 0:0:0", 285, 535.42, inf
1248999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1249999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1250999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1251999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 14.44
1252999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 6.79
1253999, 1562112000, "2019/7/3 0:0:0", 229, 535.42, 1.87
1255000, 1562112000, "2019/7/3 0:0:0", 594, 460.01, 2.04
1255999, 1562112000, "2019/7/3 0:0:0", 598, 458.27, 1.89
1256999, 1562112000, "2019/7/3 0:0:0", 89, 535.42, 1.90
1257999, 1562112000, "2019/7/3 0:0:0", 593, 458.85, 1.90
1258999, 1562112000, "2019/7/3 0:0:0", 592, 460.59, 1.99
1259999, 1562112000, "2019/7/3 0:0:0", 585, 461.75, 2.00
1260998, 1562112000, "2019/7/3 0:0:0", 608, 459.43, 1.86
1262000, 1562112000, "2019/7/3 0:0:0", 347, 535.42, inf
1262999, 1562112000, "2019/7/3 0:0:0", 367, 535.42, inf
1264000, 1562112000, "2019/7/3 0:0:0", 598, 463.49, inf
1264999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1265999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1266999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1267999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1269000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1269999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1271000, 1562112000, "2019/7/3 0:0:0", 453, 535.42, inf
1271999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1272999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1273999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1274999, 1562112000, "2019/7/3 0:0:0", 440, 535.42, inf
1276000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1276999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1278000, 1562112000, "2019/7/3 0:0:0", 252, 535.42, inf
1278999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1280000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1280999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1281999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1282999, 1562112000, "2019/7/3 0:0:0", 267, 535.42, 1.88
1283999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 66.26
1285000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1285999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 6.87
1287000, 1562112000, "2019/7/3 0:0:0", 215, 535.42, 1.90
1287999, 1562112000, "2019/7/3 0:0:0", 216, 535.42, 1.89
1288998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1289999, 1562112000, "2019/7/3 0:0:0", 563, 460.59, 1.87
1290999, 1562112000, "2019/7/3 0:0:0", 591, 457.69, 1.88
1292000, 1562112000, "2019/7/3 0:0:0", 596, 458.85, 1.88
1292999, 1562112000, "2019/7/3 0:0:0", 592, 457.69, 1.90
1294000, 1562112000, "2019/7/3 0:0:0", 142, 535.42, 1.85
1294999, 1562112000, "2019/7/3 0:0:0", 593, 459.43, 1.91
1296000, 1562112000, "2019/7/3 0:0:0", 599, 458.85, 1.91
1296999, 1562112000, "2019/7/3 0:0:0", 592, 457.69, 1.91
1297999, 1562112000, "2019/7/3 0:0:0", 607, 458.27, 1.85
1298999, 1562112000, "2019/7/3 0:0:0", 591, 460.59, 1.97
1299999, 1562112000, "2019/7/3 0:0:0", 574, 472.19, 3.13
1300999, 1562112000, "2019/7/3 0:0:0", 607, 458.85, 1.86
1301998, 1562112000, "2019/7/3 0:0:0", 603, 459.43, 1.88
1303000, 1562112000, "2019/7/3 0:0:0", 298, 535.42, inf
1303998, 1562112000, "2019/7/3 0:0:0", 403, 535.42, inf
1304999, 1562112000, "2019/7/3 0:0:0", 599, 462.33, 2.16
1305999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1306999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1307999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1308999, 1562112000, "2019/7/3 0:0:0", 512, 529.62, 12.66
1310000, 1562112000, "2019/7/3 0:0:0", 413, 535.42, inf
1310999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1311998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1312999, 1562112000, "2019/7/3 0:0:0", 223, 535.42, inf
1313999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1314999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1315999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1317000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1317999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1318999, 1562112000, "2019/7/3 0:0:0", 407, 526.14, 1.89
1319999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1320998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1321998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1322999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1323999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1324999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1326000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1326999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1328000, 1562112000, "2019/7/3 0:0:0", 369, 535.42, 1.91
1328999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1329998, 1562112000, "2019/7/3 0:0:0", 102, 535.42, inf
1330999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1331999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1332999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1333999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1335000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 375.47
1335999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1336999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 3.26
1337999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 66.26
1338998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1339999, 1562112000, "2019/7/3 0:0:0", 47, 535.42, 2.26
1340999, 1562112000, "2019/7/3 0:0:0", 142, 535.42, 1.91
1342000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1342999, 1562112000, "2019/7/3 0:0:0", 209, 535.42, 1.90
1344000, 1562112000, "2019/7/3 0:0:0", 235, 535.42, 1.90
1344999, 1562112000, "2019/7/3 0:0:0", 66, 535.42, 2.09
1345999, 1562112000, "2019/7/3 0:0:0", 227, 535.42, 1.91
1346999, 1562112000, "2019/7/3 0:0:0", 27, 535.42, 2.50
1347999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1349000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.77
1349999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 51.20
1350999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1351999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1352999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1353999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1354999, 1562112000, "2019/7/3 0:0:0", 375, 535.42, inf
1355999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1356998, 1562112000, "2019/7/3 0:0:0", 596, 468.13, 2.54
1358000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1358999, 1562112000, "2019/7/3 0:0:0", 75, 535.42, inf
1359998, 1562112000, "2019/7/3 0:0:0", 595, 463.49, 1.93
1360999, 1562112000, "2019/7/3 0:0:0", 285, 535.42, inf
1361999, 1562112000, "2019/7/3 0:0:0", 160, 535.42, inf
1362999, 1562112000, "2019/7/3 0:0:0", 136, 535.42, inf
1363999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1364999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1365998, 1562112000, "2019/7/3 0:0:0", 551, 502.94, 5.12
1367000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1367999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1368999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1369999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.80
1370999, 1562112000, "2019/7/3 0:0:0", 69, 535.42, 2.00
1371999, 1562112000, "2019/7/3 0:0:0", 269, 535.42, 1.91
1372999, 1562112000, "2019/7/3 0:0:0", 590, 462.33, 1.90
1373999, 1562112000, "2019/7/3 0:0:0", 590, 461.75, 1.91
1374999, 1562112000, "2019/7/3 0:0:0", 85, 535.42, 1.93
1376000, 1562112000, "2019/7/3 0:0:0", 590, 462.33, 1.92
1376998, 1562112000, "2019/7/3 0:0:0", 588, 462.91, 1.92
1377999, 1562112000, "2019/7/3 0:0:0", 582, 465.23, 2.11
1378999, 1562112000, "2019/7/3 0:0:0", 581, 465.23, 2.20
1379999, 1562112000, "2019/7/3 0:0:0", 603, 461.75, 1.87
1381000, 1562112000, "2019/7/3 0:0:0", 482, 535.42, 102.40
1381999, 1562112000, "2019/7/3 0:0:0", 385, 535.42, inf
1383000, 1562112000, "2019/7/3 0:0:0", 23, 535.42, inf
1383999, 1562112000, "2019/7/3 0:0:0", 594, 471.03, 2.61
1384999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1385999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1386999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1387998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1388999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1390000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1390999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1391998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1392999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1393999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1394999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1395999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1397000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1397999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1399000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1399999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1400999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 16.32
1401998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1402999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1404000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 9.71
1404999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 7.27
1406000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1406999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.05
1408000, 1562112000, "2019/7/3 0:0:0", 121, 535.42, 1.91
1408999, 1562112000, "2019/7/3 0:0:0", 160, 535.42, 1.90
1409999, 1562112000, "2019/7/3 0:0:0", 589, 464.07, 1.95
1410999, 1562112000, "2019/7/3 0:0:0", 347, 535.42, 1.90
1411999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 12.38
1413000, 1562112000, "2019/7/3 0:0:0", 591, 461.75, 1.91
1413999, 1562112000, "2019/7/3 0:0:0", 587, 462.91, 1.92
1415000, 1562112000, "2019/7/3 0:0:0", 158, 535.42, 1.87
1415999, 1562112000, "2019/7/3 0:0:0", 583, 462.33, 1.92
1416998, 1562112000, "2019/7/3 0:0:0", 592, 464.07, 1.91
1417998, 1562112000, "2019/7/3 0:0:0", 584, 462.91, 1.93
1418999, 1562112000, "2019/7/3 0:0:0", 245, 535.42, inf
1419999, 1562112000, "2019/7/3 0:0:0", 587, 463.49, 1.95
1420999, 1562112000, "2019/7/3 0:0:0", 604, 461.75, 1.89
1422000, 1562112000, "2019/7/3 0:0:0", 573, 480.31, 3.38
1422999, 1562112000, "2019/7/3 0:0:0", 574, 475.09, 3.03
1424000, 1562112000, "2019/7/3 0:0:0", 601, 463.49, 1.89
1424998, 1562112000, "2019/7/3 0:0:0", 571, 479.73, 3.31
1425998, 1562112000, "2019/7/3 0:0:0", 529, 512.22, 6.44
1426999, 1562112000, "2019/7/3 0:0:0", 497, 531.94, 13.57
1427999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1428999, 1562112000, "2019/7/3 0:0:0", 406, 535.42, inf
1429998, 1562112000, "2019/7/3 0:0:0", 592, 463.49, 1.92
1431000, 1562112000, "2019/7/3 0:0:0", 171, 535.42, inf
1431999, 1562112000, "2019/7/3 0:0:0", 228, 535.42, inf
1432998, 1562112000, "2019/7/3 0:0:0", 598, 464.07, 1.98
1433999, 1562112000, "2019/7/3 0:0:0", 122, 535.42, inf
1434999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1436000, 1562112000, "2019/7/3 0:0:0", 563, 492.49, 3.99
1436999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1437999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1438999, 1562112000, "2019/7/3 0:0:0", 581, 480.31, 3.29
1440000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1440999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1441999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1443000, 1562112000, "2019/7/3 0:0:0", 369, 535.42, inf
1443999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1445000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1445999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 17.60
1447000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1447999, 1562112000, "2019/7/3 0:0:0", 461, 535.42, inf
1448999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1449999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1450999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1451999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1452999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1454000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1454999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 5.14
1456000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1457000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1457999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1458999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1459999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1461000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1461999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1462999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 70.40
1463999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1464998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 14.08
1465999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1466999, 1562112000, "2019/7/3 0:0:0", 3, 535.42, 3.17
1467999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.73
1468999, 1562112000, "2019/7/3 0:0:0", 30, 535.42, 2.53
1470000, 1562112000, "2019/7/3 0:0:0", 38, 535.42, 2.42
1470999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.51
1472000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1472998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.10
1473999, 1562112000, "2019/7/3 0:0:0", 36, 535.42, 2.45
1475000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1475998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 9.23
1476999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 11.26
1477999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 7.31
1479000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 13.25
1479999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1480998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1481998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1482999, 1562112000, "2019/7/3 0:0:0", 63, 535.42, 2.18
1483999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1484998, 1562112000, "2019/7/3 0:0:0", 600, 465.23, 1.95
1486000, 1562112000, "2019/7/3 0:0:0", 303, 535.42, inf
1486999, 1562112000, "2019/7/3 0:0:0", 576, 476.83, 3.09
1488000, 1562112000, "2019/7/3 0:0:0", 570, 477.99, 3.18
1488999, 1562112000, "2019/7/3 0:0:0", 589, 464.07, 1.94
1489999, 1562112000, "2019/7/3 0:0:0", 362, 535.42, 1.88
1490999, 1562112000, "2019/7/3 0:0:0", 588, 461.17, 1.91
1491999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.05
1492999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1493999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 7.17
1495000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 28.88
1495999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1496999, 1562112000, "2019/7/3 0:0:0", 247, 535.42, inf
1497999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1498999, 1562112000, "2019/7/3 0:0:0", 26, 535.42, inf
1499999, 1562112000, "2019/7/3 0:0:0", 539, 505.26, 5.19
1500999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1501999, 1562112000, "2019/7/3 0:0:0", 589, 462.91, 1.94
1502999, 1562112000, "2019/7/3 0:0:0", 160, 535.42, 1.87
1504000, 1562112000, "2019/7/3 0:0:0", 582, 461.75, 1.91
1504999, 1562112000, "2019/7/3 0:0:0", 333, 535.42, 1.90
1505999, 1562112000, "2019/7/3 0:0:0", 54, 535.42, 2.27
1506999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1507999, 1562112000, "2019/7/3 0:0:0", 83, 535.42, inf
1509000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1509999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1511000, 1562112000, "2019/7/3 0:0:0", 214, 535.42, inf
1511999, 1562112000, "2019/7/3 0:0:0", 598, 461.17, 1.89
1512999, 1562112000, "2019/7/3 0:0:0", 569, 476.25, 3.15
1513999, 1562112000, "2019/7/3 0:0:0", 583, 462.91, 1.93
1514999, 1562112000, "2019/7/3 0:0:0", 586, 463.49, 1.93
1515999, 1562112000, "2019/7/3 0:0:0", 590, 463.49, 1.91
1516999, 1562112000, "2019/7/3 0:0:0", 590, 462.33, 1.90
1517999, 1562112000, "2019/7/3 0:0:0", 586, 462.91, 1.93
1518999, 1562112000, "2019/7/3 0:0:0", 576, 470.45, 2.66
1520000, 1562112000, "2019/7/3 0:0:0", 581, 462.91, 1.93
1521000, 1562112000, "2019/7/3 0:0:0", 38, 535.42, 2.43
1521999, 1562112000, "2019/7/3 0:0:0", 584, 462.91, 1.92
1522998, 1562112000, "2019/7/3 0:0:0", 349, 535.42, 1.91
1523998, 1562112000, "2019/7/3 0:0:0", 367, 535.42, 1.91
1525000, 1562112000, "2019/7/3 0:0:0", 459, 496.55, 1.89
1525999, 1562112000, "2019/7/3 0:0:0", 147, 535.42, 1.90
1527000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1527999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 7.17
1528999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 36.34
1529999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1530999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1532000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1532999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1533999, 1562112000, "2019/7/3 0:0:0", 514, 533.68, 11.49
1534999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1536000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1536999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1537999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1539000, 1562112000, "2019/7/3 0:0:0", 583, 471.03, 2.87
1539999, 1562112000, "2019/7/3 0:0:0", 146, 535.42, inf
1540999, 1562112000, "2019/7/3 0:0:0", 199, 535.42, inf
1541999, 1562112000, "2019/7/3 0:0:0", 140, 535.42, inf
1543000, 1562112000, "2019/7/3 0:0:0", 589, 466.97, 2.49
1543999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1544999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1546000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1546999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1548000, 1562112000, "2019/7/3 0:0:0", 512, 534.26, 13.74
1548999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1549999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1550999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1552000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1552999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1553999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1554999, 1562112000, "2019/7/3 0:0:0", 116, 535.42, 1.90
1555999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1556999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1557999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 66.26
1559000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 6.26
1559999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 19.42
1560999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1561999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 26.20
1562999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.45
1563999, 1562112000, "2019/7/3 0:0:0", 596, 461.75, 1.90
1564999, 1562112000, "2019/7/3 0:0:0", 9, 535.42, 2.94
1566000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1566999, 1562112000, "2019/7/3 0:0:0", 36, 535.42, 2.37
1568000, 1562112000, "2019/7/3 0:0:0", 180, 535.42, 1.90
1568999, 1562112000, "2019/7/3 0:0:0", 382, 535.42, 1.91
1569999, 1562112000, "2019/7/3 0:0:0", 483, 483.79, 1.89
1571000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 8.60
1571998, 1562112000, "2019/7/3 0:0:0", 589, 461.75, 1.90
1572999, 1562112000, "2019/7/3 0:0:0", 588, 466.39, 2.23
1573999, 1562112000, "2019/7/3 0:0:0", 588, 461.75, 1.92
1574999, 1562112000, "2019/7/3 0:0:0", 165, 535.42, 1.88
1575999, 1562112000, "2019/7/3 0:0:0", 589, 462.33, 1.92
1576998, 1562112000, "2019/7/3 0:0:0", 570, 462.91, 2.02
1577999, 1562112000, "2019/7/3 0:0:0", 584, 462.33, 1.95
1578999, 1562112000, "2019/7/3 0:0:0", 582, 470.45, 2.78
1579999, 1562112000, "2019/7/3 0:0:0", 574, 465.23, 2.41
1580999, 1562112000, "2019/7/3 0:0:0", 602, 460.59, 1.88
1582000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1582999, 1562112000, "2019/7/3 0:0:0", 361, 535.42, inf
1584000, 1562112000, "2019/7/3 0:0:0", 595, 464.07, 2.25
1584999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1585999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1586999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1587999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1588998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1589998, 1562112000, "2019/7/3 0:0:0", 438, 535.42, inf
1591000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 4.77
1591999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1592999, 1562112000, "2019/7/3 0:0:0", 67, 535.42, inf
1593998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1594999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1595999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1596999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1598000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1598998, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1599998, 1562112000, "2019/7/3 0:0:0", 260, 535.42, inf
1600999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1601999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1602999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1603999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1605000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1605999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1606999, 1562112000, "2019/7/3 0:0:0", 598, 465.81, 2.07
1607998, 1562112000, "2019/7/3 0:0:0", 426, 535.42, inf
1608999, 1562112000, "2019/7/3 0:0:0", 479, 535.42, 75.09
1609999, 1562112000, "2019/7/3 0:0:0", 575, 469.87, 2.86
1610999, 1562112000, "2019/7/3 0:0:0", 604, 461.17, 1.88
1612000, 1562112000, "2019/7/3 0:0:0", 581, 465.81, 2.14
1612999, 1562112000, "2019/7/3 0:0:0", 589, 462.91, 1.92
1614000, 1562112000, "2019/7/3 0:0:0", 586, 461.17, 1.92
1614999, 1562112000, "2019/7/3 0:0:0", 592, 461.17, 1.89
1616000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 11.49
1616999, 1562112000, "2019/7/3 0:0:0", 110, 535.42, 1.90
1617999, 1562112000, "2019/7/3 0:0:0", 24, 535.42, 1.92
1618999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, 225.28
1619999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1621000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1621999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1623000, 1562112000, "2019/7/3 0:0:0", 354, 535.42, inf
1623999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1624999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1625999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1626999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1627999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1628999, 1562112000, "2019/7/3 0:0:0", 524, 522.08, 8.41
1630000, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
1630999, 1562112000, "2019/7/3 0:0:0", 0, 535.42, inf
